,venue,Team,Opposition,Over Number,Ball Number,current_run,run_rate,wickets_left,runs_till_5_over,score
163,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,16,3,121.0,7.333333333333334,5.0,29.0,186.0
164,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,16,4,127.0,7.62,5.0,29.0,186.0
165,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,16,5,133.0,7.900990099009901,5.0,29.0,186.0
166,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,16,6,134.0,7.882352941176471,5.0,29.0,186.0
167,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,17,1,138.0,8.03883495145631,5.0,29.0,186.0
168,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,17,2,144.0,8.307692307692307,5.0,29.0,186.0
169,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,17,3,148.0,8.457142857142857,5.0,29.0,186.0
170,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,17,4,149.0,8.433962264150944,5.0,29.0,186.0
171,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,17,5,150.0,8.411214953271028,5.0,29.0,186.0
172,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,17,6,151.0,8.38888888888889,5.0,29.0,186.0
174,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,18,1,156.0,8.587155963302752,5.0,29.0,186.0
175,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,18,2,160.0,8.727272727272727,5.0,29.0,186.0
176,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,18,3,160.0,8.64864864864865,5.0,29.0,186.0
177,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,18,4,161.0,8.625,5.0,29.0,186.0
178,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,18,5,165.0,8.761061946902656,5.0,29.0,186.0
179,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,18,6,165.0,8.68421052631579,4.0,29.0,186.0
180,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,19,1,171.0,8.921739130434784,4.0,29.0,186.0
181,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,19,2,177.0,9.155172413793103,4.0,29.0,186.0
182,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,19,3,177.0,9.076923076923077,4.0,29.0,186.0
183,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,19,4,178.0,9.050847457627118,4.0,29.0,186.0
184,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,19,5,179.0,9.025210084033613,4.0,29.0,186.0
185,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,19,6,180.0,9.0,4.0,29.0,186.0
187,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,5,1,55.0,10.64516129032258,10.0,55.0,240.0
188,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,5,2,56.0,10.5,10.0,55.0,240.0
189,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,5,3,60.0,10.909090909090908,10.0,55.0,240.0
190,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,5,4,64.0,11.294117647058822,10.0,55.0,240.0
191,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,5,5,65.0,11.142857142857142,10.0,55.0,240.0
192,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,5,6,66.0,11.0,10.0,55.0,240.0
194,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,6,1,71.0,11.513513513513512,10.0,55.0,240.0
195,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,6,2,72.0,11.368421052631579,10.0,55.0,240.0
196,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,6,3,73.0,11.23076923076923,10.0,55.0,240.0
197,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,6,4,74.0,11.100000000000001,10.0,55.0,240.0
198,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,6,5,74.0,10.829268292682928,10.0,55.0,240.0
199,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,6,6,75.0,10.714285714285715,10.0,55.0,240.0
200,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,7,1,75.0,10.465116279069768,10.0,55.0,240.0
201,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,7,2,76.0,10.363636363636363,10.0,55.0,240.0
202,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,7,3,77.0,10.266666666666666,10.0,55.0,240.0
203,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,7,4,77.0,10.043478260869566,10.0,55.0,240.0
204,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,7,5,77.0,9.829787234042554,10.0,55.0,240.0
205,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,7,6,78.0,9.75,10.0,55.0,240.0
206,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,8,1,79.0,9.673469387755102,10.0,55.0,240.0
207,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,8,2,81.0,9.72,10.0,55.0,240.0
208,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,8,3,87.0,10.235294117647058,10.0,55.0,240.0
209,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,8,4,93.0,10.730769230769232,10.0,55.0,240.0
210,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,8,5,94.0,10.641509433962264,10.0,55.0,240.0
211,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,8,6,95.0,10.555555555555555,10.0,55.0,240.0
212,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,9,1,96.0,10.472727272727273,10.0,55.0,240.0
213,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,9,2,97.0,10.392857142857142,10.0,55.0,240.0
214,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,9,3,99.0,10.421052631578949,10.0,55.0,240.0
215,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,9,4,105.0,10.862068965517242,10.0,55.0,240.0
